count_transactions,transactions_country.geoNetwork_country,transactions_country.date_formatted
15,United States,5/31/2017
,United States,5/31/2017
,United States,5/31/2017
,United States,5/31/2017
,United States,5/31/2017
,United States,5/31/2017
,United States,5/31/2017
,United States,5/31/2017
,United States,5/31/2017
,United States,5/31/2017
,United States,5/31/2017
,United States,5/31/2017
,United States,5/31/2017
,United States,5/31/2017
,United States,5/31/2017
18,United States,3/2/2017
,United States,3/2/2017
,United States,3/2/2017
,United States,3/2/2017
,United States,3/2/2017
,United States,3/2/2017
,United States,3/2/2017
,United States,3/2/2017
,United States,3/2/2017
,United States,3/2/2017
,United States,3/2/2017
,United States,3/2/2017
,United States,3/2/2017
,United States,3/2/2017
,United States,3/2/2017
,United States,3/2/2017
,United States,3/2/2017
,United States,3/2/2017
36,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
,United States,3/3/2017
36,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
47,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
,Venezuela,3/4/2017
73,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
,United States,3/4/2017
73,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,10/21/2016
,United States,12/13/2016
,United States,12/13/2016
,United States,12/13/2016
,United States,12/13/2016
,United States,12/13/2016
,United States,12/13/2016
,United States,12/13/2016
,United States,12/13/2016
,United States,12/13/2016
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
,Indonesia,3/14/2017
